product_id,product_title,product_url,price_01_03
11190,Etude House - Dear Darling Water Gel - Wodnisto-Żelowy Tint do Ust - #OR204 Cherry Red - 5g,https://cosibella.pl/pl/products/etude-house-11190,"26,00 zł"
11290,Annabelle Minerals - Pędzel Flat Top,https://cosibella.pl/pl/products/annabelle-minerals-11290,"43,00 zł"
11291,Annabelle Minerals - Pędzel Kabuki,https://cosibella.pl/pl/products/annabelle-minerals-11291,"43,00 zł"
11293,Annabelle Minerals - Pędzel Baby Kabuki,https://cosibella.pl/pl/products/annabelle-minerals-11293,"37,00 zł"
11301,Annabelle Minerals - Pędzelek do Korektora,https://cosibella.pl/pl/products/annabelle-minerals-11301,"30,00 zł"
11328,Paese - Mgła Pudrowa - 12 Natural Beige - 10g,https://cosibella.pl/pl/products/paese-11328,"49,90 zł"
11360,Veoli Botanica - Drop Of Perfection - Wygładzająco-Kryjący Krem BB - 2.5 N - Beige - 30ml,https://cosibella.pl/pl/products/veoli-botanica-11360,"119,00 zł"
11362,Veoli Botanica - Drop Of Perfection - Wygładzająco-Kryjący Krem BB - 1.5 N - Ivory - 30ml,https://cosibella.pl/pl/products/veoli-botanica-11362,"119,00 zł"
11366,Veoli Botanica - Drop Of Perfection - Wygładzająco-Kryjący Krem BB - 2.0 W - Vanilla - 30ml,https://cosibella.pl/pl/products/veoli-botanica-11366,"119,00 zł"
11683,Annabelle Minerals - Podkład Mineralny Kryjący - Natural Light - 4g,https://cosibella.pl/pl/products/annabelle-minerals-11683,"49,90 zł"
12741,Paese - Beauty Powder - Puder Jęczmienny - 10g,https://cosibella.pl/pl/products/paese-12741,"32,00 zł"
12742,Paese - Krem BB z Kwasem Hialuronowym - Ivory - 30ml,https://cosibella.pl/pl/products/paese-12742,"47,90 zł"
12744,Paese - Krem BB z Kwasem Hialuronowym - Natural - 30ml,https://cosibella.pl/pl/products/paese-12744,"46,90 zł"
12745,Paese - Puder Matujący z Olejem Arganowym - 01 - 8g,https://cosibella.pl/pl/products/paese-12745,"30,90 zł"
